program_id,Game,Opn.,qualifier,semifinal,final,J_medal,Cls.,weekday,weekend,24to6,6to9,9to12,12to18,18to21,21to24
P269,athletics,0,1,1,1,0,0,0,1,0,0,0,0,1,1
P257,athletics,0,1,1,1,0,0,0,1,0,0,0,0,1,1
P271,volleyball,0,1,0,0,0,0,0,1,0,0,0,0,1,0
P291,golf,0,0,1,1,0,0,0,1,0,0,1,1,0,0
P287,bicycle,0,0,0,0,0,0,0,1,0,0,1,1,0,0
P288,swimming,0,0,0,1,0,0,0,1,0,0,1,0,0,0
P296,basketball,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P294,gymnastics,0,0,0,1,1,0,0,1,0,0,0,1,1,0
P297,athletics,0,0,1,1,0,0,0,1,0,0,0,0,1,0
P295,boxing,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P304,athletics,0,1,0,1,0,0,1,0,0,0,1,0,0,0
P305,athletics,0,1,0,1,0,0,1,0,0,0,0,1,0,0
P303,table tennis,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P310,baseball,0,1,0,0,0,0,1,0,0,0,0,0,1,1
P311,badminton,0,0,0,1,0,0,1,0,0,0,0,0,1,1
P306,dive,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P307,soccer,0,0,1,0,0,0,1,0,0,0,0,1,1,0
P308,gymnastics,0,0,0,1,1,0,1,0,0,0,0,1,1,0
P309,wrestling,0,0,1,1,1,0,1,0,0,0,0,0,1,1
P313,athletics,0,1,0,1,0,0,1,0,0,0,1,0,0,0
P315,wrestling,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P316,volleyballwrestling,0,0,1,0,0,0,1,0,0,0,0,1,0,0
P320,wrestling,0,0,1,1,1,0,1,0,0,0,0,0,1,1
P314,table tennis,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P321,table tennis,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P318,basketball,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P317,bicycle,0,1,0,1,0,0,1,0,0,0,0,1,0,0
P322,soccer,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P319,gymnastics,0,0,0,1,1,0,1,0,0,0,0,1,1,0
P332,table tennis,0,0,1,0,0,0,1,0,0,1,1,1,0,0
P325,table tennis,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P326,volleyball,0,1,0,0,0,0,1,0,0,1,1,0,0,0
P327,skateboard,0,1,0,0,0,0,1,0,0,0,1,0,0,0
P329,skateboard,0,0,0,1,1,0,1,0,0,0,0,1,0,0
P328,wrestling,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P331,wrestling,0,0,1,1,1,0,1,0,0,0,0,0,1,1
P333,baseball,0,0,1,0,0,0,1,0,0,0,0,0,1,1
P330,sailing,0,0,0,0,0,0,1,0,0,0,0,1,0,0
P339,athletics,0,1,0,1,1,0,1,0,0,1,1,1,0,0
P343,athletics,0,0,0,0,0,0,1,0,0,0,0,1,0,0
P345,skateboard,0,1,0,1,1,0,1,0,0,0,1,1,0,0
P340,golf,0,0,0,0,0,0,1,0,0,0,1,1,1,0
P344,karate,0,1,1,1,1,0,1,0,0,0,0,1,1,1
P346,table tennis,0,0,0,1,1,0,1,0,0,0,0,0,1,1
P338,wrestling,0,0,0,1,1,0,1,0,0,0,0,0,1,1
P352,golf,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P349,golf,0,1,0,0,0,0,1,0,0,0,1,1,0,0
P348,athletics,0,0,0,1,0,0,1,0,1,1,1,0,0,0
P362,athletics,0,0,0,1,0,0,1,0,0,0,0,0,1,1
P353,table tennis,0,0,0,1,1,0,1,0,0,0,1,1,0,0
P356,rhythmic sports gymnastics,0,1,0,0,0,0,1,0,0,0,0,1,0,0
P351,wrestling,0,0,0,1,1,0,1,0,0,0,1,1,0,0
P359,wrestling,0,0,0,1,1,0,1,0,0,0,1,1,0,0
P355,volleyball,0,0,1,0,0,0,1,0,0,0,0,1,0,0
P358,sports climbing,0,0,0,1,1,0,1,0,0,0,0,1,1,1
P363,basketball,0,0,0,1,0,0,1,0,0,0,0,0,1,0
P377,athletics,0,0,0,1,0,0,0,1,0,1,1,0,0,0
P380,athletics,0,0,0,1,0,0,0,1,0,0,0,0,1,1
P375,rhythmic sports gymnastics,0,1,0,0,0,0,0,1,0,0,1,1,0,0
P381,rhythmic sports gymnastics,0,0,0,1,0,0,0,1,0,0,0,1,0,0
P370,dive,0,0,1,0,0,0,0,1,0,0,0,1,0,0
P374,dive,0,0,0,1,0,0,0,1,0,0,0,1,0,0
P378,baseball,0,0,0,1,1,0,0,1,0,0,0,0,1,1
P367,artistic swimming,0,1,0,0,0,0,0,1,0,0,0,0,1,1
P384,athletics,0,0,0,1,0,0,0,1,0,1,1,0,0,0
P390,volleyball,0,0,0,1,0,0,0,1,0,0,0,1,0,0
P385,bicycle,0,0,1,1,1,0,0,1,0,0,1,1,0,0
P388,rhythmic sports gymnastics,0,0,0,1,0,0,0,1,0,0,1,1,0,0
P392,rhythmic sports gymnastics,0,0,0,1,0,0,0,1,0,0,1,1,0,0
P387,basketball,0,0,0,1,1,0,0,1,0,0,1,1,0,0
P399,,0,0,0,0,0,1,0,1,0,0,0,0,1,1
